Segment #,SegInt,Habitat,Shoreline Characterization,#segments from nearest aquaculuture,Date (MM/DD/YYYY),Julian Day,Year,Census #,Time (24 hr. clock),"Tide (R, H, F, L)",ObservationOccuredDuring4hrTendingWindow(1-0),Total # Shorebirds in Flock,Total REKN in segment,REKN Occupancy,REKN Flock EDGE Location,REKN Flock EDGE Distance to RACKS,REKN Flock EDGE Distance to TENDING,Total RUTU in segment,RUTU Occupancy,RUTU Flock EDGE Location,RUTU Flock EDGE Distance to RACKS,RUTU Flock EDGE Distance to TENDING,Total SESA in segment,SESA Occupancy,SESA Flock EDGE Location,SESA Flock EDGE Distance to RACKS,SESA Flock EDGE Distance to TENDING,Total SAND in segment,SAND Occupancy,SAND Flock EDGE Location,SAND Flock EDGE Distance to RACKS,SAND Flock EDGE Distance to TENDING,Total DUNL in segment,DUNL Occupancy,Flock EDGE Location,DUNL Flock EDGE Distance to RACKS,DUNL Flock EDGE Distance to TENDING,#Gulls,#LAGU,#HERG,# GBBG,# RBGU,# LBBG,nearest rack tended? (1-0),#Planes,,
137-138,137,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:50,F,1,16,0,0,~,~,~,0,0,~,~,~,1,1,F,3,~,0,0,~,~,~,0,0,~,~,~,1,0,1,0,0,0,0,0,,
138-139,138,Aquaculture,Dune,0,6/2/2017,17153,2017,1,8:50,F,1,0,0,0,~,~,~,0,0,~,~,~,0,0,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,0,0,,
N11-N10,-11,Creek,Dune,48,6/2/2017,17153,2017,2,10:38,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,34,34,0,0,0,0,1,0,,
N10-N09,-10,Creek,Dune,47,6/2/2017,17153,2017,2,10:37,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,31,30,1,0,0,0,1,0,,
N09-N08,-9,Creek,Dune,46,6/2/2017,17153,2017,2,10:35,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,4,3,1,0,0,0,1,0,,
N08-N07,-8,Creek,Dune,45,6/2/2017,17153,2017,2,10:33,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
N07-N06,-7,Creek,Dune,44,6/2/2017,17153,2017,2,10:32,L,1,300,0,0,~,~,~,16,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,5,5,0,0,0,0,1,0,,
N06-N05,-6,Tidal Flats,Dune,43,6/2/2017,17153,2017,2,10:31,L,1,300,0,0,~,~,~,1,1,#,+,~,110,1,#,+,~,0,0,~,~,~,0,0,~,~,~,2,2,0,0,0,0,1,0,,
N05-N04,-5,Tidal Flats,Dune,42,6/2/2017,17153,2017,2,10:29,L,1,300,0,0,~,~,~,0,0,~,~,~,47,1,#,+,~,0,0,~,~,~,0,0,~,~,~,15,15,0,0,0,0,1,0,,
N04-N03,-4,Tidal Flats,Creek,41,6/2/2017,17153,2017,2,10:24,L,1,300,0,0,~,~,~,0,0,~,~,~,22,1,#,+,~,0,0,~,~,~,0,0,~,~,~,2,2,0,0,0,0,1,0,,
N03-N02,-3,Creek,Dune,40,6/2/2017,17153,2017,2,10:24,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
N02-N01,-2,Tidal Flats,Dune,39,6/2/2017,17153,2017,2,10:23,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
N01-000,-1,Tidal Flats,Dune,38,6/2/2017,17153,2017,2,10:22,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
000-001,0,Tidal Flats,Dune,37,6/2/2017,17153,2017,2,10:21,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
001-002,1,Tidal Flats,Dune,36,6/2/2017,17153,2017,2,10:19,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
002-003,2,Tidal Flats,Dune,35,6/2/2017,17153,2017,2,10:18,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
003-004,3,Tidal Flats,Dune,34,6/2/2017,17153,2017,2,10:18,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
004-005,4,Tidal Flats,Dune,33,6/2/2017,17153,2017,2,10:17,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
005-006,5,Tidal Flats,Dune,32,6/2/2017,17153,2017,2,10:16,L,1,1,0,0,~,~,~,0,0,~,~,~,1,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
006-007,6,Tidal Flats,Dune,31,6/2/2017,17153,2017,2,10:14,L,1,1,0,0,~,~,~,0,0,~,~,~,1,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
007-008,7,Tidal Flats,Dune,30,6/2/2017,17153,2017,2,10:14,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
008-009,8,Tidal Flats,Dune,29,6/2/2017,17153,2017,2,10:11,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
009-010,9,Tidal Flats,Dune,28,6/2/2017,17153,2017,2,10:10,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,5,4,1,0,0,0,1,0,,
010-011,10,Tidal Flats,Dune,27,6/2/2017,17153,2017,2,10:08,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,1,0,1,0,0,0,1,0,,
011-012,11,Tidal Flats,Dune,26,6/2/2017,17153,2017,2,10:08,L,1,41,0,0,~,~,~,0,0,~,~,~,41,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
012-013,12,Tidal Flats,Dune,25,6/2/2017,17153,2017,2,10:07,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
013-014,13,Tidal Flats,Dune,24,6/2/2017,17153,2017,2,10:06,L,1,1,0,0,~,~,~,0,0,~,~,~,1,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
014-015,14,Tidal Flats,Dune,23,6/2/2017,17153,2017,2,10:02,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,2,2,0,0,0,0,1,0,,
015-016,15,Tidal Flats,Dune,22,6/2/2017,17153,2017,2,10:00,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
016-017,16,Tidal Flats,Dune,21,6/2/2017,17153,2017,2,9:58,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
017-018,17,Tidal Flats,Dune,20,6/2/2017,17153,2017,2,9:57,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
018-019,18,Tidal Flats,Dune,19,6/2/2017,17153,2017,2,9:55,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,2,1,0,1,0,0,1,0,,
019-020,19,Tidal Flats,Creek,18,6/2/2017,17153,2017,2,9:54,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,30,1,24,5,0,0,1,0,,
020-021,20,Creek,Creek,17,6/2/2017,17153,2017,2,9:52,L,1,8,0,0,~,~,~,0,0,~,~,~,8,1,#,+,~,0,0,~,~,~,0,0,~,~,~,13,12,1,0,0,0,1,0,,
021-022,21,Creek,Creek,16,6/2/2017,17153,2017,2,9:51,L,1,85,10,1,#,+,~,25,1,#,+,~,50,1,#,+,~,0,0,~,~,~,0,0,~,~,~,250,250,0,0,0,0,1,0,,
022-023,22,Creek,Dune,15,6/2/2017,17153,2017,2,9:48,L,1,1,0,0,~,~,~,1,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,3,3,0,0,0,0,1,0,,
023-024,23,Creek,Dune,14,6/2/2017,17153,2017,2,9:46,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,11,11,0,0,0,0,1,0,,
024-025,24,Creek,Dune,13,6/2/2017,17153,2017,2,9:45,L,1,1,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,5,2,0,3,0,0,1,0,,
025-026,25,Creek,Dune,12,6/2/2017,17153,2017,2,9:44,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,6,6,0,0,0,0,1,0,,
026-027,26,Tidal Flats,Dune,11,6/2/2017,17153,2017,2,9:44,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,4,4,0,0,0,0,1,0,,
027-028,27,Tidal Flats,Dune,10,6/2/2017,17153,2017,2,9:42,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
028-029,28,Tidal Flats,Dune,9,6/2/2017,17153,2017,2,9:41,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,3,3,0,0,0,0,1,0,,
029-030,29,Tidal Flats,Dune,8,6/2/2017,17153,2017,2,9:39,L,1,1,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
030-031,30,Tidal Flats,Dune,7,6/2/2017,17153,2017,2,9:43,L,1,2,0,0,~,~,~,1,1,#,+,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,2,2,0,0,0,0,1,0,,
031-032,31,Tidal Flats,Dune,6,6/2/2017,17153,2017,2,9:44,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,2,2,0,0,0,0,1,0,,
032-033,32,Tidal Flats,Dune,5,6/2/2017,17153,2017,2,9:45,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
033-034,33,Tidal Flats,Dune,4,6/2/2017,17153,2017,2,9:46,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,1,1,0,0,0,0,1,0,,
034-035,34,Tidal Flats,Phragmites,3,6/2/2017,17153,2017,2,9:46,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,3,3,0,0,0,0,1,0,,
035-036,35,Tidal Flats,Phragmites,2,6/2/2017,17153,2017,2,9:47,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,1,1,0,0,0,0,1,0,,
036-037,36,Tidal Flats,Phragmites,1,6/2/2017,17153,2017,2,9:48,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
037-038,37,Aquaculture,Phragmites,0,6/2/2017,17153,2017,2,9:49,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,3,3,0,0,0,0,1,0,,
038-039,38,Aquaculture,Phragmites,0,6/2/2017,17153,2017,2,9:52,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
039-040,39,Aquaculture,Phragmites,0,6/2/2017,17153,2017,2,9:55,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,8,8,0,0,0,0,1,0,,
040-041,40,Tidal Flats,Marsh,1,6/2/2017,17153,2017,2,9:55,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,12,12,0,0,0,0,1,0,,
041-042,41,Tidal Flats,Marsh,2,6/2/2017,17153,2017,2,9:56,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,11,11,0,0,0,0,1,0,,
042-043,42,Tidal Flats,Bulkhead,3,6/2/2017,17153,2017,2,9:57,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,3,3,0,0,0,0,1,0,,
043-044,43,Tidal Flats,Bulkhead,4,6/2/2017,17153,2017,2,10:05,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
044-045,44,Tidal Flats,Bulkhead,5,6/2/2017,17153,2017,2,10:06,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,0,0,0,0,1,0,,
045-046,45,Tidal Flats,Bulkhead,6,6/2/2017,17153,2017,2,10:06,L,1,1079,0,0,~,~,~,0,0,~,~,~,9,1,#,+,~,0,0,~,~,~,0,0,~,~,~,30,30,0,0,0,0,1,0,,
046-047,46,Tidal Flats,Bulkhead,7,6/2/2017,17153,2017,2,10:08,L,1,1079,0,0,~,~,~,0,0,~,~,~,11,1,#,+,~,0,0,~,~,~,0,0,~,~,~,105,105,0,0,0,0,1,0,,
047-048,47,Tidal Flats,Bulkhead,8,6/2/2017,17153,2017,2,10:09,L,1,1079,0,0,~,~,~,0,0,~,~,~,49,1,#,+,~,0,0,~,~,~,0,0,~,~,~,50,50,0,0,0,0,1,0,,
048-049,48,Tidal Flats,Bulkhead,9,6/2/2017,17153,2017,2,10:10,L,1,1079,0,0,~,~,~,0,0,~,~,~,95,1,#,+,~,0,0,~,~,~,0,0,~,~,~,38,38,0,0,0,0,1,0,,
049-050,49,Tidal Flats,Dune,10,6/2/2017,17153,2017,2,10:11,L,1,1079,0,0,~,~,~,0,0,~,~,~,75,1,#,+,~,0,0,~,~,~,0,0,~,~,~,66,66,0,0,0,0,1,0,,
050-051,50,Tidal Flats,Bulkhead,11,6/2/2017,17153,2017,2,10:15,L,1,1079,0,0,~,~,~,0,0,~,~,~,250,1,#,+,~,0,0,~,~,~,0,0,~,~,~,52,52,0,0,0,0,1,0,,
051-052,51,Tidal Flats,Bulkhead,12,6/2/2017,17153,2017,2,10:17,L,1,1079,0,0,~,~,~,1,1,#,+,~,180,1,#,+,~,0,0,~,~,~,0,0,~,~,~,18,18,0,0,0,0,1,0,,
052-053,52,Tidal Flats,Bulkhead,13,6/2/2017,17153,2017,2,10:18,L,1,1079,0,0,~,~,~,0,0,~,~,~,245,1,#,+,~,0,0,~,~,~,1,1,#,+,~,2,2,0,0,0,0,1,0,,
053-054,53,Tidal Flats,Bulkhead,14,6/2/2017,17153,2017,2,10:21,L,1,1079,0,0,~,~,~,13,1,#,+,~,150,1,#,+,~,0,0,~,~,~,0,0,~,~,~,22,22,0,0,0,0,1,0,,
054-055,54,Tidal Flats,Bulkhead,15,6/2/2017,17153,2017,2,10:23,L,1,553,0,0,~,~,~,0,0,~,~,~,26,1,#,+,~,0,0,~,~,~,0,0,~,~,~,12,12,0,0,0,0,1,0,,
055-056,55,Tidal Flats,Bulkhead,14,6/2/2017,17153,2017,2,10:25,L,1,553,0,0,~,~,~,1,1,#,+,~,70,1,#,+,~,0,0,~,~,~,0,0,~,~,~,24,24,0,0,0,0,1,0,,
056-057,56,Tidal Flats,Bulkhead,13,6/2/2017,17153,2017,2,10:25,L,1,553,0,0,~,~,~,0,0,~,~,~,365,1,#,+,~,2,1,#,+,~,0,0,~,~,~,12,12,0,0,0,0,1,0,,
057-058,57,Tidal Flats,Bulkhead,12,6/2/2017,17153,2017,2,10:27,L,1,553,0,0,~,~,~,0,0,~,~,~,90,1,#,+,~,0,0,~,~,~,0,0,~,~,~,20,19,1,0,0,0,1,0,,
058-059,58,Tidal Flats,Bulkhead,11,6/2/2017,17153,2017,2,10:31,L,1,3,0,0,~,~,~,0,0,~,~,~,3,1,#,+,~,0,0,~,~,~,0,0,~,~,~,15,15,0,0,0,0,1,0,,
059-060,59,Tidal Flats,Bulkhead,10,6/2/2017,17153,2017,2,10:32,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,7,7,0,0,0,0,1,0,,
060-061,60,Tidal Flats,Bulkhead,9,6/2/2017,17153,2017,2,10:32,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,2,2,0,0,0,0,1,0,,
061-062,61,Tidal Flats,Dune,8,6/2/2017,17153,2017,2,10:38,L,1,382,0,0,~,~,~,52,1,#,+,~,330,1,#,+,~,0,0,~,~,~,0,0,~,~,~,40,40,0,0,0,0,1,0,,
062-063,62,Tidal Flats,Dune,7,6/2/2017,17153,2017,2,10:39,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,16,16,0,0,0,0,1,0,,
063-064,63,Tidal Flats,Dune,6,6/2/2017,17153,2017,2,10:43,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,5,5,0,0,0,0,1,0,,
064-065,64,Tidal Flats,Dune,5,6/2/2017,17153,2017,2,10:43,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,6,6,0,0,0,0,1,0,,
065-066,65,Tidal Flats,Dune,4,6/2/2017,17153,2017,2,10:44,L,1,0,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,0,0,~,~,~,37,37,0,0,0,0,1,0,,
